"id";"line";"country";"code";"localityFR";"localityNL";"created_at";"updated_at"
93;93;"BE";"1367";"Gérompont";"Gérompont";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
94;94;"BE";"1367";"Grand-Rosière-Hottomont";"Grand-Rosière-Hottomont";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
95;95;"BE";"1367";"Huppaye";"Huppaye";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
96;96;"BE";"1367";"Mont-Saint-André";"Mont-Saint-André";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
97;97;"BE";"1367";"RAMILLIES";"RAMILLIES";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
98;98;"BE";"1370";"Dongelberg";"Dongelberg";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
99;99;"BE";"1370";"Jauchelette";"Jauchelette";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
100;100;"BE";"1370";"JODOIGNE";"JODOIGNE";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
101;101;"BE";"1370";"Jodoigne-Souveraine";"Jodoigne-Souveraine";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
102;102;"BE";"1370";"Lathuy";"Lathuy";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
103;103;"BE";"1370";"Mélin";"Mélin";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
104;104;"BE";"1370";"Piétrain";"Piétrain";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
105;105;"BE";"1370";"Saint-Jean-Geest";"Saint-Jean-Geest";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
106;106;"BE";"1370";"Saint-Remy-Geest";"Saint-Remy-Geest";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
107;107;"BE";"1370";"Zétrud-Lumay";"Zétrud-Lumay";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
108;108;"BE";"1380";"Couture-Saint-Germain";"Couture-Saint-Germain";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
109;109;"BE";"1380";"LASNE";"LASNE";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
110;110;"BE";"1380";"Lasne-Chapelle-Saint-Lambert";"Lasne-Chapelle-Saint-Lambert";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
111;111;"BE";"1380";"Maransart";"Maransart";"2018-07-25 09:00:38";"2018-07-25 09:01:29"
